X,Y,gid,Name,description,altitudeMode,Status,OneWayRoad,Direction,CityCouncil,PostedSpeedLimit_MPH,Shape.len,ParentPathLength_Miles,ProjectName,MaintainedBy,PhysicalJurisdiction,PathType,ParentTerminiDesc,ParentPathName,FiftyMileLoop,SurfaceMaterial,ProjectTermini,Path_Width_ft,Field_1
-106.604812927921,35.1516601424798,883,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,4,<Null>,394.432089,0.07,PASEO DEL NORTH / NORTH DIVERSION CHANNEL TRAIL,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Asphalt,Paseo del Norte and NDC Multiuse Trail,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.604869501714,35.1366358467066,26,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,4,<Null>,238.94349,0.04,PASEO DEL NORTH / NORTH DIVERSION CHANNEL TRAIL,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Asphalt,Paseo del Norte and NDC Multiuse Trail,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.605295493136,35.135455031955,27,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,N/S,4,<Null>,833.751866,0.15,PDN / NORTH DIVERSON CHANNEL TRAIL - PHASE II,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Concrete,North of I-25 to Hahn Arroyo,11,Crossing- Bicycle or pedestrian under/over crossings.
-106.605499657491,35.13399888763,28,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/E,S/W",4,<Null>,185.359637,0.03,PDN / NORTH DIVERSON CHANNEL TRAIL - PHASE II,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Asphalt,North of I-25 to Hahn Arroyo,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.606297808296,35.1325144554014,29,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/E,S/W",4,<Null>,709.749582,0.13,PDN / NORTH DIVERSON CHANNEL TRAIL - PHASE II,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Asphalt,North of I-25 to Hahn Arroyo,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.612259065412,35.1074012113284,30,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,E/W,7,<Null>,160.207654,0.03,Embudo Channel Trail Construction QuatrCnt Trails,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from NDC to Cutler,North Diversion Channel Crossing,<Null>,Concrete,At N.Diversion Channel then  East past Carlisle to Cutler,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.604766151968,35.1846042556542,31,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,"N/W,S/E",4,<Null>,155.276049,0.02,"North Diversion Channel Trail, Paseo to Alameda",CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from Paseo del Bosque Trail  to Balloon Museum,Alameda Trail Crossing,<Null>,Concrete,On the NDC between Paseo Del Norte and Alameda Bd NE,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.675357280522,35.1440126765412,32,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/E,S/W",99,<Null>,447.392602,0.08,PASEO DEL BOSQUE TRAIL NORTHERN EXTENSION,CABQ_OS,BERNALILLO COUNTY,Paved Multiple Use Trail,from Alameda Blvd to Bridge,Paseo del Bosque Trail,<Null>,Asphalt,Alameda to Campbell,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.686400054172,35.1269712196602,33,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,99,<Null>,2906.939342,0.55,PASEO DEL BOSQUE TRAIL NORTHERN EXTENSION,CABQ_OS,BERNALILLO COUNTY,Paved Multiple Use Trail,from Alameda Blvd to Bridge,Paseo del Bosque Trail,<Null>,Asphalt,Alameda to Campbell,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.687490591853,35.1191025301564,34,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,E/W,99,<Null>,47.636422,0,<Null>,CABQ_PM,BERNALILLO COUNTY,Crossing,from Alameda Blvd to Bridge,Paseo del Bosque Trail,<Null>,Concrete,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.687624050692,35.1191231890211,35,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,99,<Null>,33.757295,0,<Null>,CABQ_PM,BERNALILLO COUNTY,Paved Multiple Use Trail,from Alameda Blvd to Bridge,Paseo del Bosque Trail,<Null>,Asphalt,<Null>,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.686632856317,35.1192405453632,36,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,2,<Null>,346.948445,0.06,THOMAS VILLAGE ESTATES PHASE 3,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Alameda Blvd to Bridge,Paseo del Bosque Trail,<Null>,Gravel,NW of Don Quixote and La Mancha,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.690264618056,35.1062477343914,37,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,E/W,2,<Null>,201.268199,0.03,New Bike Trail / Repair of Paseo del Bosque Trail,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from Alameda Blvd to Bridge,I-40 Trail Crossing,<Null>,Asphalt,Kircher and Osuna/ and I-40,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.690260430029,35.1058758048083,38,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,2,<Null>,183.362499,0.03,Bosque Trail Maintenance 2010,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Alameda Blvd to Bridge,I-40 Trail,<Null>,Asphalt,"Bridge Blvd & Rio Grande River; Alameda Rd & Rio Grand Rive",10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.669272075986,35.022439648457,39,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,"N/E,S/W",99,<Null>,84.101754,0.01,<Null>,BERNCO,BERNALILLO COUNTY,Crossing,from Rio Bravo looping S to SDC,San Jose Drain,<Null>,Wood,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.661099280152,35.0025662358462,40,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,99,<Null>,380.395468,0.07,<Null>,BERNCO,BERNALILLO COUNTY,Paved Multiple Use Trail,from Rio Bravo looping S to SDC,Chris Chavez Trail,<Null>,Asphalt,<Null>,12,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.663325134156,35.0028955053767,41,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,E/W,99,<Null>,681.91798,0.12,<Null>,BERNCO,BERNALILLO COUNTY,Crossing,from Rio Bravo looping S to SDC,2nd Underpass Crossing,<Null>,Concrete,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.649356837227,35.0171965580407,42,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,N/S,99,<Null>,15.889606,0,<Null>,BERNCO,BERNALILLO COUNTY,Crossing,from Rio Bravo looping S to SDC,Chris Chavez Crossing,<Null>,Concrete,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.496699429439,35.0694616946579,44,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,"N/E,S/W",9,<Null>,132.23917,0.02,<Null>,NMDOT,CITY OF ALBUQUERQUE,Crossing,from Lomas Verdes. to Central,Tramway Trail  S,<Null>,Asphalt,<Null>,10,Crossing- Bicycle or pedestrian under/over crossings.
-106.684268599472,35.1446152909335,46,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,99,<Null>,266.790696,0.05,<Null>,BERNCO_OS,BERNALILLO COUNTY,Unpaved Multiple Use Trail,<Null>,Bosque Trails,<Null>,Natural Surface,Graham Property,<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.684066752685,35.1451027380889,47,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,99,<Null>,202.394118,0.03,<Null>,BERNCO_OS,BERNALILLO COUNTY,Unpaved Multiple Use Trail,<Null>,Bosque Trails,<Null>,Natural Surface,Graham Property,<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.686450778066,35.1400172210669,52,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,99,<Null>,792.681364,0.15,<Null>,BERNCO_OS,BERNALILLO COUNTY,Unpaved Multiple Use Trail,"faint trail; very light traffic",Bosque Trails,<Null>,Natural Surface,Graham Property,<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.659549494308,35.0584820835275,53,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,3,<Null>,8590.773804,1.62,<Null>,BERNCO_OS,CITY OF ALBUQUERQUE,Unpaved Multiple Use Trail,"well-used, hard-packed surface, obscured in spots by leaves/mulch; several side trails to river",Bosque Trails,<Null>,Natural Surface,San Antonio Oxbow (Closed),<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.680736388535,35.1477656632595,58,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,99,<Null>,280.960302,0.05,<Null>,CABQ_OS,BERNALILLO COUNTY,Unpaved Multiple Use Trail,"adopted trail; heavy foot/bike traffic",Bosque Trails,<Null>,Natural Surface,San Antonio Oxbow (Closed),<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.687471604233,35.1388063961803,51,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/E,S/W",99,<Null>,373.382775,0.07,<Null>,BERNCO_OS,BERNALILLO COUNTY,Unpaved Multiple Use Trail,couldn't follow trail due to leaf cover,Bosque Trails,<Null>,Natural Surface,Graham Property,<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.680206354134,35.0905312937389,57,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,2,<Null>,56.444834,0.01,<Null>,CABQ_OS,CITY OF ALBUQUERQUE,Unpaved Multiple Use Trail,spur to maintenance road,YCC Trails,<Null>,Natural Surface,Rio del Norte Picnic Area,<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.62247836208,35.2062219770482,56,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,E/W,99,<Null>,165.639311,0.03,<Null>,CABQ_PM,BERNALILLO COUNTY,Unpaved Multiple Use Trail,<Null>,Bosque Trails,<Null>,Natural Surface,San Antonio Oxbow (Closed),<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.59362446155,35.058238538238,60,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,E/W,6,40,1286.447718,0.24,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from I-25 to Jackson,Gibson,<Null>,Asphalt,<Null>,<Null>,BikeLane - A portion of the street with a designated lane for bicycles.
-106.602544238986,35.0582669936874,61,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,E/W,6,40,2707.992417,0.51,,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from I-25 to Jackson,Gibson,<Null>,Asphalt,<Null>,<Null>,BikeLane - A portion of the street with a designated lane for bicycles.
-106.522055808143,35.0760787497307,62,BikeRoute - Cars and bicycles share the street.,,clampToGround,Existing,<Null>,E/W,9,35,1662.654476,0.31,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeRoute,from Moon to Shirley,Chico,<Null>,Asphalt,<Null>,<Null>,BikeRoute - Cars and bicycles share the street.
-106.634808711002,35.1782765961944,64,BikeRoute - Cars and bicycles share the street.,,clampToGround,Existing,<Null>,E/W,99,25,6122.063211,1.15,<Null>,Los Ranchos,VILLAGE OF LOS RANCHOS,BikeRoute,from Rio Grande to Edith,El Pueblo,<Null>,Asphalt,<Null>,<Null>,BikeRoute - Cars and bicycles share the street.
-106.678117283192,35.2068241316816,65,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,"N/W,S/E",5,40,1695.891914,0.32,McMahon Blvd Transportation Improvements,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from Universe to Coors By-Pass,McMahon,<Null>,Asphalt,NW Between Coors Bypass & Unser Blvd,6,BikeLane - A portion of the street with a designated lane for bicycles.
-106.601595658779,35.1932600824574,66,Crossing- Bicycle or pedestrian under/over crossings.,,clampToGround,Existing,<Null>,"N/W,S/E",4,<Null>,140.614461,0.02,North Diversion Channel Trail Phase 2,CABQ_PM,CITY OF ALBUQUERQUE,Crossing,from NDC to Jefferson,Bike Valet Parking Access Crossing,<Null>,Concrete,"North Diversion Channel, S/O Alameda Blvd., North To Balloon Fiesta Park",10,Crossing- Bicycle or pedestrian under/over crossings.
-106.713626399702,35.1942841337116,67,BikeLane - A portion of the street with a designated lane for bicycles.,,clampToGround,Existing,<Null>,"N/E,S/W",5,35,3151.230619,0.59,Paradise View Subdivision,CABQ_SM,CITY OF ALBUQUERQUE,BikeLane,from Coneflower to Eagle Ranch,Paradise,<Null>,Asphalt,"Paradise Blvd., West of Unser Blvd. (Lyon Blvd.)",5,BikeLane - A portion of the street with a designated lane for bicycles.
-106.546851541194,35.1659815824483,68,BikeRoute - Cars and bicycles share the street.,,clampToGround,Existing,<Null>,E/W,4,30,5465.695687,1.03,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeRoute,from Louisiana to Ventura,San Francisco,<Null>,Asphalt,<Null>,<Null>,BikeRoute - Cars and bicycles share the street.
-106.498070508796,35.0652389617086,69,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,9,<Null>,403.141175,0.07,Singing Arrow Bike Trail,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Adjiduamo to Piru,Singing Arrow Trail,<Null>,Asphalt,Tramway and Wenonah,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.647355412745,35.1931017069022,70,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/E,S/W",99,<Null>,4435.35627,0.84,<Null>,CABQ_OS,BERNALILLO COUNTY,Unpaved Multiple Use Trail,"well worn; sandy in patches, bikes widening trail.",Bosque Trails,<Null>,Natural Surface,San Antonio Oxbow (Closed),<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.678294134844,35.0889222119576,72,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,"N/W,S/E",2,<Null>,1345.342271,0.25,<Null>,CABQ_OS,CITY OF ALBUQUERQUE,Unpaved Multiple Use Trail,"YCC trail; moderate foot/bike traffic",YCC Trails,<Null>,Natural Surface,San Antonio Oxbow (Closed),<Null>,Unpaved Multiple Use Trail – An unpaved trail closed to automotive traffic.
-106.60539726973,35.1366255474965,74,Paved Multiple Use Trail - A paved trail closed to automotive traffic.,,clampToGround,Existing,<Null>,N/S,4,<Null>,91.668435,0.01,PDN / NORTH DIVERSON CHANNEL TRAIL - PHASE II,CABQ_PM,CITY OF ALBUQUERQUE,Paved Multiple Use Trail,from Balloon Fiesta Park to UNM,North Diversion Channel Trail,<Null>,Asphalt,North of I-25 to Hahn Arroyo,10,Paved Multiple Use Trail - A paved trail closed to automotive traffic.
-106.695802293608,35.1560482650054,75,BikeRoute - Cars and bicycles share the street.,,clampToGround,Existing,<Null>,E/W,5,25,3733.625735,0.7,<Null>,CABQ_SM,CITY OF ALBUQUERQUE,BikeRoute,from San Ildefonso to Taylor Ranch,Kachina,<Null>,Asphalt,<Null>,<Null>,BikeRoute - Cars and bicycles share the street.
